group,item,sentence,question,left_answer,right_answer,correct_answer,verb_type,complementizer
A,33,The countryside that the people traveling from far away settled eagerly in was rich in natural resources.,Where did the people travel from?,far away,a distant land,far away,transitive,that
B,33,The countryside where the people traveling from far away settled eagerly was rich in natural resources.,Where did the people travel from?,far away,a distant land,far away,transitive,where
C,33,The countryside that the people traveling from far away arrived eagerly in was rich in natural resources.,Where did the people travel from?,far away,a distant land,far away,intransitive,that
D,33,The countryside where the people traveling from far away arrived eagerly was rich in natural resources.,Where did the people travel from?,far away,a distant land,far away,intransitive,where
E,33,The countryside that the people traveling from far away settled eagerly in was rich in natural resources.,Where did the people travel from?,a distant land,far away,far away,transitive,that
F,33,The countryside where the people traveling from far away settled eagerly was rich in natural resources.,Where did the people travel from?,a distant land,far away,far away,transitive,where
G,33,The countryside that the people traveling from far away arrived eagerly in was rich in natural resources.,Where did the people travel from?,a distant land,far away,far away,intransitive,that
H,33,The countryside where the people traveling from far away arrived eagerly was rich in natural resources.,Where did the people travel from?,a distant land,far away,far away,intransitive,where
A,34,The mountains that the farmers seeking more reliable harvests settled reluctantly in were lacking arable land.,What did the farmers seek?,more reliable harvests,more water,more reliable harvests,transitive,that
B,34,The mountains where the farmers seeking more reliable harvests arrived reluctantly were lacking arable land.,What did the farmers seek?,more water,more reliable harvests,more reliable harvests,intransitive,where
C,34,The mountains that the farmers seeking more reliable harvests arrived reluctantly in were lacking arable land.,What did the farmers seek?,more water,more reliable harvests,more reliable harvests,intransitive,that
D,34,The mountains where the farmers seeking more reliable harvests settled reluctantly were lacking arable land.,What did the farmers seek?,more water,more reliable harvests,more reliable harvests,transitive,where
E,34,The mountains that the farmers seeking more reliable harvests settled reluctantly in were lacking arable land.,What did the farmers seek?,more water,more reliable harvests,more reliable harvests,transitive,that
F,34,The mountains where the farmers seeking more reliable harvests arrived reluctantly were lacking arable land.,What did the farmers seek?,more reliable harvests,more water,more reliable harvests,intransitive,where
G,34,The mountains that the farmers seeking more reliable harvests arrived reluctantly in were lacking arable land.,What did the farmers seek?,more reliable harvests,more water,more reliable harvests,intransitive,that
H,34,The mountains where the farmers seeking more reliable harvests settled reluctantly were lacking arable land.,What did the farmers seek?,more reliable harvests,more water,more reliable harvests,transitive,where
A,35,The wilderness that the travelers from the neighboring town settled quickly in was lush with vegetation.,What was the wilderness like?,lush with vegetation,full of wildlife,lush with vegetation,transitive,that
B,35,The wilderness where the travelers from the neighboring town settled quickly was lush with vegetation.,What was the wilderness like?,lush with vegetation,full of wildlife,lush with vegetation,transitive,where
C,35,The wilderness that the travelers from the neighboring town arrived quickly in was lush with vegetation.,What was the wilderness like?,lush with vegetation,full of wildlife,lush with vegetation,intransitive,that
D,35,The wilderness where the travelers from the neighboring town arrived quickly was lush with vegetation.,What was the wilderness like?,lush with vegetation,full of wildlife,lush with vegetation,intransitive,where
E,35,The wilderness that the travelers from the neighboring town settled quickly in was lush with vegetation.,What was the wilderness like?,full of wildlife,lush with vegetation,lush with vegetation,transitive,that
F,35,The wilderness where the travelers from the neighboring town settled quickly was lush with vegetation.,What was the wilderness like?,full of wildlife,lush with vegetation,lush with vegetation,transitive,where
G,35,The wilderness that the travelers from the neighboring town arrived quickly in was lush with vegetation.,What was the wilderness like?,full of wildlife,lush with vegetation,lush with vegetation,intransitive,that
H,35,The wilderness where the travelers from the neighboring town arrived quickly was lush with vegetation.,What was the wilderness like?,full of wildlife,lush with vegetation,lush with vegetation,intransitive,where
A,36,The forests that the bears fleeing the cold weather settled unexpectedly in were full of pine trees.,What trees were in the forests?,pine trees,maple trees,pine trees,transitive,that
B,36,The forests where the bears fleeing the cold weather arrived unexpectedly were full of pine trees.,What trees were in the forests?,maple trees,pine trees,pine trees,intransitive,where
C,36,The forests that the bears fleeing the cold weather arrived unexpectedly in were full of pine trees.,What trees were in the forests?,maple trees,pine trees,pine trees,intransitive,that
D,36,The forests where the bears fleeing the cold weather settled unexpectedly were full of pine trees.,What trees were in the forests?,maple trees,pine trees,pine trees,transitive,where
E,36,The forests that the bears fleeing the cold weather settled unexpectedly in were full of pine trees.,What trees were in the forests?,maple trees,pine trees,pine trees,transitive,that
F,36,The forests where the bears fleeing the cold weather arrived unexpectedly were full of pine trees.,What trees were in the forests?,pine trees,maple trees,pine trees,intransitive,where
G,36,The forests that the bears fleeing the cold weather arrived unexpectedly in were full of pine trees.,What trees were in the forests?,pine trees,maple trees,pine trees,intransitive,that
H,36,The forests where the bears fleeing the cold weather settled unexpectedly were full of pine trees.,What trees were in the forests?,pine trees,maple trees,pine trees,transitive,where
A,37,The city that the historian from the famous institute studied regularly in was home to a former president.,Where was the historian from?,the famous institute,the prestigious university,the famous institute,transitive,that
B,37,The city where the historian from the famous institute studied regularly was home to a former president.,Where was the historian from?,the famous institute,the prestigious university,the famous institute,transitive,where
C,37,The city that the historian from the famous institute remained regularly in was home to a former president.,Where was the historian from?,the famous institute,the prestigious university,the famous institute,intransitive,that
D,37,The city where the historian from the famous institute remained regularly was home to a former president.,Where was the historian from?,the famous institute,the prestigious university,the famous institute,intransitive,where
E,37,The city that the historian from the famous institute studied regularly in was home to a former president.,Where was the historian from?,the prestigious university,the famous institute,the famous institute,transitive,that
F,37,The city where the historian from the famous institute studied regularly was home to a former president.,Where was the historian from?,the prestigious university,the famous institute,the famous institute,transitive,where
G,37,The city that the historian from the famous institute remained regularly in was home to a former president.,Where was the historian from?,the prestigious university,the famous institute,the famous institute,intransitive,that
H,37,The city where the historian from the famous institute remained regularly was home to a former president.,Where was the historian from?,the prestigious university,the famous institute,the famous institute,intransitive,where
A,38,The library that the archivist working on his thesis studied repeatedly in was large and venerable.,What was the archivist working on?,his thesis,a long book,his thesis,transitive,that
B,38,The library where the archivist working on his thesis remained repeatedly was large and venerable.,What was the archivist working on?,a long book,his thesis,his thesis,intransitive,where
C,38,The library that the archivist working on his thesis remained repeatedly in was large and venerable.,What was the archivist working on?,a long book,his thesis,his thesis,intransitive,that
D,38,The library where the archivist working on his thesis studied repeatedly was large and venerable.,What was the archivist working on?,a long book,his thesis,his thesis,transitive,where
E,38,The library that the archivist working on his thesis studied repeatedly in was large and venerable.,What was the archivist working on?,a long book,his thesis,his thesis,transitive,that
F,38,The library where the archivist working on his thesis remained repeatedly was large and venerable.,What was the archivist working on?,his thesis,a long book,his thesis,intransitive,where
G,38,The library that the archivist working on his thesis remained repeatedly in was large and venerable.,What was the archivist working on?,his thesis,a long book,his thesis,intransitive,that
H,38,The library where the archivist working on his thesis studied repeatedly was large and venerable.,What was the archivist working on?,his thesis,a long book,his thesis,transitive,where
A,39,The building that the architect designing a new skyscraper studied frequently in housed an archive of blueprints.,What was the architect designing?,a new skyscraper,a new auditorium,a new skyscraper,transitive,that
B,39,The building where the architect designing a new skyscraper studied frequently housed an archive of blueprints.,What was the architect designing?,a new skyscraper,a new auditorium,a new skyscraper,transitive,where
C,39,The building that the architect designing a new skyscraper remained frequently in housed an archive of blueprints.,What was the architect designing?,a new skyscraper,a new auditorium,a new skyscraper,intransitive,that
D,39,The building where the architect designing a new skyscraper remained frequently housed an archive of blueprints.,What was the architect designing?,a new skyscraper,a new auditorium,a new skyscraper,intransitive,where
E,39,The building that the architect designing a new skyscraper studied frequently in housed an archive of blueprints.,What was the architect designing?,a new auditorium,a new skyscraper,a new skyscraper,transitive,that
F,39,The building where the architect designing a new skyscraper studied frequently housed an archive of blueprints.,What was the architect designing?,a new auditorium,a new skyscraper,a new skyscraper,transitive,where
G,39,The building that the architect designing a new skyscraper remained frequently in housed an archive of blueprints.,What was the architect designing?,a new auditorium,a new skyscraper,a new skyscraper,intransitive,that
H,39,The building where the architect designing a new skyscraper remained frequently housed an archive of blueprints.,What was the architect designing?,a new auditorium,a new skyscraper,a new skyscraper,intransitive,where
A,40,The garden that the herbologist from the old university studied constantly in was home to many exotic plants.,What was in the garden?,many exotic plants,several beautiful flowers,many exotic plants,transitive,that
B,40,The garden where the herbologist from the old university remained constantly was home to many exotic plants.,What was in the garden?,several beautiful flowers,many exotic plants,many exotic plants,intransitive,where
C,40,The garden that the herbologist from the old university remained constantly in was home to many exotic plants.,What was in the garden?,several beautiful flowers,many exotic plants,many exotic plants,intransitive,that
D,40,The garden where the herbologist from the old university studied constantly was home to many exotic plants.,What was in the garden?,several beautiful flowers,many exotic plants,many exotic plants,transitive,where
